Časová značka;Discord name;Link(s) to contribution(s) (discord post, tweet,...);Mainnet (StarkNet) address;How did you contribute?;;;Marek Notes;POINTS;NOTES
3/24/2023 11:14:11;rafiqfarah#5099;https://discord.com/channels/969228248552706078/1055455042246815774/1088767554916458538;0x05346Ea5dF8d65A9cf82e31D4f9c0A7449488a67A8899B23af5634B520578dFF;I created image/video with Carmine Options AMM theme;;;;0;wrong link
3/25/2023 11:03:34;FRUX#0156;https://twitter.com/FRUX1999/status/1639568452783333376?s=20;0x0275806Bc7beC073B433bad92D550B4184A222CA70Fb8cc67fD19b1C1c047037;I created a twitter thread explaining what Carmine Options AMM is;;;;2;
3/26/2023 4:25:22;pari#6927;not;0x01e5a94697facd2f3fccfe7f0e30aad8aaeac2f0de7cc252eca7b4615a623a07;not;;;;0;
3/27/2023 6:04:17;Bossxg#2774;https://mirror.xyz/0x12E46bB989cC2E254523718549cb56f8e8f1152C/ouk33sdBlnvReS1uhDer5Nfg8-RJOs3YjiNp5qDQdA8;0x0059B9404462C7e244EABb402eC569F1222957640E96795C27740AafFc6074BF;I wrote an article;;;;6;
3/27/2023 15:43:47;Lyskey#2396;https://starknetroundup.substack.com/p/starknet-roundup-58?sd=pf;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;I have included Carmine in my Starknet newsletter edition ;;;;5;
3/28/2023 11:34:48;DIMAS#0797;https://twitter.com/CarmineOptions/status/1600963815310766080?s=20;0x05406719700fBD1F0b2CCc86D51E7e106331A178eD612B36E96A73b93D65D1D5;I created a twitter thread explaining what Carmine Options AMM is;;;;0;wrong link
3/28/2023 23:44:24;lalikso#4629;;0x0380A8ef508e9e1cf3D747101966AcD5e4B1259d9bc05E35b90c0FbdCa81B474;wr;;;;0;Twitter section is empty
3/30/2023 22:10:12;cryptokai#1231;https://twitter.com/sidneyrealorena/status/1641531327240609792?s=20;0x0713E939CaDE58965F44BC72D01B582b692c5f974d4d1DC6599DEa5B58452AB0;I created a twitter thread explaining what Carmine Options AMM is;;;;7;
4/2/2023 18:45:20;ku#1323;;0x04268d853d9b7FA2Eb6fb8A5a7Ff8c3f58457e76263F21Bc84dAB1438577a584;I wrote an article;;;;0;Twitter section is empty
4/4/2023 2:56:09;Lyskey#2396;https://twitter.com/Starknet_OG/status/1642929055703138304;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Newsletter in which I have included Carmine;;;;5;
4/6/2023 6:25:01;Lyskey#2396;https://twitter.com/Starknet_OG/status/1643831749238222853;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Quote your Mainnet announcement ;;;;5;
4/7/2023 11:05:32;steuf#4984;https://twitter.com/SteufDab/status/1644264053613756416?s=20;0x034E7427b727BE27590d45D0cEf2248FF4DfA95a3347aef7b2d9355906e541C8;I created a twitter thread explaining what Carmine Options AMM is;;;;7;
4/7/2023 16:14:30;Lyskey#2396;https://twitter.com/Starknet_OG/status/1644341913645117442;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Amplify your tweet announcing the mainnet;;;;5;
4/8/2023 13:29:43;Альона#9588;"https://twitter.com/AlChernega/status/1644661129740705794?s=20
https://twitter.com/AlChernega/status/1644663152242556928?s=20";0x04beec4e536c379dbbf94942cdf14952233f0d08609d1eee2b03284bb6fc544d;I created infographics, I created a twitter thread explaining what Carmine Options AMM is;;;;4;
4/9/2023 5:20:32;Lyskey#2396;https://twitter.com/JediSwap/status/1644760717654892546;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;I'm in charge of the JediSwap newsletter (I gather the news and write it), I've included the Carmine Mainnet launch new in it ! ;;;;5;
4/9/2023 14:25:36;TangAnbo#4177;https://twitter.com/TangAnbo/status/1645033221040791553?s=20;0x0391e779b17dba6612ac2d2bbb14acd0aa8839cba27987aef58205a321a15cbc;I wrote an article, I created image/video with Carmine Options AMM theme, I created infographics, I created a twitter thread explaining what Carmine Options AMM is;;;;7;
4/9/2023 22:04:08;Ð 786 FIBO#3128;https://twitter.com/mrreckt1;0x03311e26bE19B3232dee7C3f3D7C9c44eCC6AD4FbF0E622cd36bE1FE3CA1495B;I created image/video with Carmine Options AMM theme;;;;0;There is no such post on this person's twitter
4/10/2023 17:45:41;Lyskey#2396;https://twitter.com/Starknet_OG/status/1645449203047616512;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;I included your news in my newsletter edition ;;;;7;
4/20/2023 16:53:11;Lyskey#2396;https://twitter.com/Starknet_OG/status/1649042347077017604;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;An infographic that mentions Carmine;;;;7;
4/24/2023 16:13:08;Lyskey#2396;https://starknetroundup.substack.com/p/starknet-roundup-62;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Included a Carmine news on my newsletter edition;;;;5;
5/1/2023 10:52:37;Ahmet | Suiswap#5052;https://twitter.com/Heartzofman/status/1652958844195160066;0x02092BB5Df5D5ab549AEd3D47c281f752e7031a55F873f9066a3a494770A7506;I created a twitter thread explaining what Carmine Options AMM is;;;;2;
5/1/2023 18:20:24;Lyskey#2396;https://starknetroundup.substack.com/p/starknet-roundup-63;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Carmine mention in my newsletter edition ;;;;5;
5/5/2023 8:12:22;TomaszCrypto7#5994;https://twitter.com/TomaszCrypto7/status/1610654606362656771;0x007506de8fAfc710ECfF05a5A59e5f0bBa86FB194CA96648314FC3bce9FfCD56;first tweet (Carmine)/ Jan 4th, 2023;;;;3;
5/5/2023 8:17:52;TomaszCrypto7#5994;https://twitter.com/TomaszCrypto7/status/1644653942570119173;0x007506de8fAfc710ECfF05a5A59e5f0bBa86FB194CA96648314FC3bce9FfCD56;The Guide for the Polish Community Starknet (Part-II)/ Part-I - https://twitter.com/TomaszCrypto7/status/1640400612251648002;;;;5;
